customer_city,customer_state,risk_segment,churn_probability,total_spent,average_review_score,average_delivery_delay,recommendation,reason,priority,owner,timeline,estimated_cost,expected_outcome
americana,SP,Medium Risk,0.68562734,36.24,4.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
pelotas,RS,High Risk,0.8448679,149.19,5.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sorocaba,SP,Medium Risk,0.6585117,58.62,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
amparo,SP,Medium Risk,0.6366215,83.62,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
campo formoso,BA,Medium Risk,0.55147433,792.06,4.0,-26.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
votuporanga,SP,Medium Risk,0.45969024,56.97,5.0,-4.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
monte alto,SP,Medium Risk,0.6670458,121.1,5.0,-24.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.7703629,23.19,3.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
apiai,SP,High Risk,0.93706155,100.14,1.0,3.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
resplendor,MG,Medium Risk,0.6006387,62.11,4.0,-25.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
goiania,GO,High Risk,0.84130985,69.9,5.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belo horizonte,MG,High Risk,0.9117832,61.11,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
juiz de fora,MG,Medium Risk,0.63360065,306.94,5.0,-24.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
vila velha,ES,High Risk,0.89446235,75.62,5.0,-12.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
blumenau,SC,High Risk,0.8634133,35.4,5.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.9132185,418.92,4.0,-13.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
campinas,SP,High Risk,0.83684945,57.82,2.0,5.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
blumenau,SC,High Risk,0.7532961,432.1,5.0,-18.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
assis,SP,Medium Risk,0.6808126,244.78,5.0,-16.0,Loyalty Rewards & Cross-Sell Campaign,Existing repeat customer,Medium,Marketing Team,Within 7 Days,40,Increase customer lifetime value
sao paulo,SP,High Risk,0.81946415,39.25,5.0,-8.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao lourenco da mata,PE,High Risk,0.9217104,62.93,5.0,-18.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
canoas,RS,High Risk,0.72075236,323.31,5.0,-15.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
guaramirim,SC,Medium Risk,0.69154954,96.32,5.0,-14.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
atibaia,SP,Medium Risk,0.68884754,246.57,5.0,-15.0,Loyalty Rewards & Cross-Sell Campaign,Existing repeat customer,Medium,Marketing Team,Within 7 Days,40,Increase customer lifetime value
sao paulo,SP,Low Risk,0.05337764,18.29,5.0,-7.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
cabo frio,RJ,High Risk,0.7436274,75.07,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
garopaba,SC,High Risk,0.90382785,95.31,4.0,2.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,Medium Risk,0.5307867,2153.35,5.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
uruguaiana,RS,Medium Risk,0.5895035,43.17,4.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Medium Risk,0.6715491,72.75,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
ribeirao preto,SP,Medium Risk,0.5128004,167.96,4.0,-13.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
salvador,BA,High Risk,0.82816637,106.97,5.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
recife,PE,High Risk,0.85870147,254.09,3.0,-18.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
natal,RN,High Risk,0.8593956,75.07,5.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
matozinhos,MG,High Risk,0.78936195,75.65,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
cotia,SP,High Risk,0.86869645,166.52,5.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
vitoria,ES,Medium Risk,0.6006543,113.29,5.0,-18.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
para de minas,MG,Medium Risk,0.6861203,58.22,4.0,-19.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao lourenco da serra,SP,Medium Risk,0.6849388,113.15,5.0,-10.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
florianopolis,SC,High Risk,0.95677966,47.42,2.0,13.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
itapema,SC,High Risk,0.9350433,185.84,1.0,-5.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
osasco,SP,High Risk,0.7051751,61.54,2.0,-8.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
capao bonito,SP,High Risk,0.88833505,37.75,5.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.68049437,55.83,5.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
vila velha,ES,Medium Risk,0.51010424,140.91,1.0,-21.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
colombo,PR,High Risk,0.7810796,82.7,4.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao goncalo,RJ,High Risk,0.7830575,675.01,4.0,-5.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
tiete,SP,High Risk,0.70651484,173.46,5.0,-20.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao bento do sul,SC,Medium Risk,0.6634166,106.38,5.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
juiz de fora,MG,High Risk,0.7308571,69.9,5.0,10.0,Service Recovery + Compensation Offer,Significant delivery delay,Critical,Logistics Team,Within 24 Hours,100,Recover customer trust
palmas,TO,High Risk,0.8237877,63.23,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
balneario camboriu,SC,Medium Risk,0.5261021,189.66,1.0,-18.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
rio de janeiro,RJ,High Risk,0.85885864,315.34,4.0,-17.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
pirapora,MG,High Risk,0.84396315,64.42,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
jatai,GO,High Risk,0.8908576,380.68,1.0,-10.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
pitangueiras,SP,High Risk,0.8618091,934.09,1.0,0.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
nilopolis,RJ,Medium Risk,0.47419864,117.77,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
potim,SP,High Risk,0.9086699,86.02,1.0,-10.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
guarulhos,SP,Medium Risk,0.4575301,299.18,2.0,-6.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
boa viagem,CE,High Risk,0.7020871,178.43,4.0,-15.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
belem,PA,High Risk,0.77159154,374.03,5.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
presidente dutra,BA,High Risk,0.79729843,112.99,5.0,96.0,Service Recovery + Compensation Offer,Significant delivery delay,Critical,Logistics Team,Within 24 Hours,100,Recover customer trust
sao paulo,SP,Medium Risk,0.68652403,28.79,4.0,-22.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
uruburetama,CE,Medium Risk,0.6254261,87.8,4.0,-22.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
belo horizonte,MG,High Risk,0.8307415,160.3,2.0,-6.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
colombo,PR,High Risk,0.8641733,37.01,5.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
guariba,SP,High Risk,0.8191758,150.15,5.0,-2.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
contagem,MG,Medium Risk,0.5146162,126.19,5.0,-16.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
santos,SP,Low Risk,0.25471166,279.24,4.0,-5.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
sao caetano do sul,SP,High Risk,0.73188347,37.68,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.6594359,144.56,1.0,0.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
santiago,RS,High Risk,0.7881117,218.55,5.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
ribeirao preto,SP,High Risk,0.8798166,38.68,4.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belo horizonte,MG,Medium Risk,0.68744963,124.73,4.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
poco fundo,MG,Medium Risk,0.6801072,141.1,5.0,-4.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,Low Risk,0.22478126,202.76,5.0,-47.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
sao jose do rio preto,SP,High Risk,0.72284275,102.96,0.0,-10.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sete lagoas,MG,High Risk,0.7778468,195.69,5.0,-19.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
arcoverde,PE,High Risk,0.8495756,206.54,5.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
belem,PA,High Risk,0.76193005,336.9,3.0,-23.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
rio verde,GO,High Risk,0.891248,296.64,1.0,-8.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
embu das artes,SP,High Risk,0.83784276,158.08,5.0,0.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
campinas,SP,High Risk,0.8978085,45.86,4.0,-3.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.8471959,107.78,4.0,-13.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
ituporanga,SC,Low Risk,0.31908587,252.35,1.0,-7.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
fraiburgo,SC,High Risk,0.90480655,448.39,1.0,8.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
rio de janeiro,RJ,Low Risk,0.39949572,139.15,5.0,-26.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
mongagua,SP,High Risk,0.7817238,149.13,5.0,-22.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
rio de janeiro,RJ,High Risk,0.88005334,87.96,3.0,-18.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.7061732,40.25,5.0,-22.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao jose dos pinhais,PR,High Risk,0.9012951,61.23,4.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.8113157,32.38,4.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
trindade,PE,High Risk,0.77219206,635.75,5.0,-6.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
belo horizonte,MG,High Risk,0.88673943,114.47,2.0,-16.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
campinas,SP,Medium Risk,0.6200125,31.72,5.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
laurentino,SC,High Risk,0.8696418,137.08,3.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
taubate,SP,Medium Risk,0.5214192,47.51,5.0,-25.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
brasilia,DF,High Risk,0.8340337,213.73,4.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao carlos,SP,Medium Risk,0.67262924,72.66,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.81887317,136.08,5.0,-1.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
duque de caxias,RJ,High Risk,0.8525084,225.71,5.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
salvador,BA,High Risk,0.8552816,144.96,5.0,-8.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
pato branco,PR,High Risk,0.88019145,72.15,5.0,0.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,Low Risk,0.29923928,107.8,5.0,-38.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
sao jose dos campos,SP,Medium Risk,0.66624635,143.22,4.0,-11.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
paracatu,MG,High Risk,0.833038,232.48,5.0,-17.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
itaitinga,CE,Medium Risk,0.5118943,132.83,5.0,-34.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
curitiba,PR,Medium Risk,0.51492995,130.16,4.0,-16.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
limeira,SP,Medium Risk,0.63370913,61.38,4.0,-12.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,High Risk,0.7288012,163.78,5.0,-15.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao carlos,SP,High Risk,0.81554186,48.15,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sooretama,ES,High Risk,0.7226186,40.24,5.0,-7.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
cachoeiro de itapemirim,ES,High Risk,0.7476239,52.01,1.0,6.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Medium Risk,0.4971456,138.06,5.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
belo horizonte,MG,High Risk,0.937613,108.11,1.0,16.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Medium Risk,0.6616825,97.87,5.0,-12.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.9007287,68.73,2.0,1.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
campo azul,MG,Medium Risk,0.67746633,96.22,5.0,-24.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
bombinhas,SC,High Risk,0.8270174,178.27,1.0,-10.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Low Risk,0.35298696,80.44,5.0,-7.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
belem,PA,Medium Risk,0.6918765,52.04,5.0,-28.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.8714565,58.75,5.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
porto alegre,RS,Medium Risk,0.4494887,191.28,4.0,-30.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
imbituba,SC,High Risk,0.9372807,35.0,5.0,-7.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.91014403,398.01,5.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.56890833,114.69,4.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
brasilia,DF,High Risk,0.7321433,368.7,5.0,-3.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
brasilia,DF,Medium Risk,0.5223896,195.63,4.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao carlos,SP,High Risk,0.8926526,938.78,5.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.87111497,69.81,2.0,-14.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
santa vitoria do palmar,RS,Medium Risk,0.65537864,68.22,5.0,-20.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.78213423,343.07,5.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
afonso claudio,ES,High Risk,0.87132174,60.93,5.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
taubate,SP,High Risk,0.8046626,73.34,5.0,-21.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
ituverava,SP,High Risk,0.93338084,46.75,1.0,0.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
rio de janeiro,RJ,Medium Risk,0.6550506,236.46,5.0,-18.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
feira de santana,BA,Low Risk,0.3287085,92.2,3.0,-12.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
rio de janeiro,RJ,High Risk,0.8677061,294.7,4.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao luis,MA,High Risk,0.8388522,62.65,5.0,-7.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.8080597,195.0,4.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.91991144,83.4,1.0,24.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
feira de santana,BA,Medium Risk,0.6017206,312.95,3.0,-18.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
sao paulo,SP,High Risk,0.7742473,161.53,5.0,-4.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
carapicuiba,SP,Medium Risk,0.6517212,22.36,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
cascavel,PR,High Risk,0.799214,198.51,1.0,-9.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
embu das artes,SP,Medium Risk,0.594732,64.86,5.0,-10.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Medium Risk,0.58726984,726.89,3.0,-6.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
moreira sales,PR,Medium Risk,0.6566906,67.32,4.0,-20.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
cruzeiro do sul,RS,High Risk,0.7669858,105.63,5.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
abaete,MG,High Risk,0.86695766,50.27,4.0,-13.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
cruzeiro,SP,Low Risk,0.3722255,30.28,1.0,-2.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
campinas,SP,High Risk,0.8568031,124.88,5.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
serra,ES,High Risk,0.8537824,86.1,5.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
caxambu,MG,Medium Risk,0.4514099,87.57,5.0,-13.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
